client_id,tag,region,region1,region2,pod,CA,RM,review_cawb,SG,layer
1001,G,North,North-East,Zone-A,Pod-1,CA-01,RM-01,2024-03-15,SG-01,L1
1001,G,North,North-East,Zone-A,Pod-1,CA-01,RM-01,2025-01-10,SG-01,L2
1002,U,South,South-West,Zone-B,Pod-2,CA-02,RM-02,2023-11-01,SG-02,L1
1003,P,West,West-Central,Zone-C,Pod-1,CA-03,RM-03,,SG-03,L1
1004,X,East,East-North,Zone-D,Pod-3,CA-04,RM-04,2025-02-01,SG-04,L1
1005,G,,East-South,,Pod-2,CA-02,RM-05,2024-08-20,SG-02,L1
2000,P,North,North-East,Zone-C,Pod-2,CA-44,RM-48,2022-10-13,SG-18,L1
2001,P,West,West-North,Zone-A,Pod-10,CA-02,RM-36,2023-04-22,SG-07,L3
2002,G,West,West-North,Zone-D,Pod-7,CA-22,RM-18,2022-01-14,SG-05,L1
2003,U,East,East-North,Zone-A,Pod-10,CA-17,RM-03,2024-01-06,SG-24,L2
2004,P,North,North-West,Zone-A,Pod-6,CA-37,RM-13,2025-07-11,SG-23,L1
2005,G,North,North-Central,Zone-B,Pod-2,CA-25,RM-18,2022-06-13,SG-15,L3
2006,U,East,East-North,Zone-C,Pod-2,CA-39,RM-41,2025-10-04,SG-06,L3
2007,P,South,South-East,Zone-D,Pod-9,CA-15,RM-44,2025-08-03,SG-11,L1
2008,G,South,South-East,Zone-C,Pod-10,CA-46,RM-21,2022-05-16,SG-07,L3
2009,G,West,West-South,Zone-D,Pod-9,CA-35,RM-17,2022-10-13,SG-24,L3
2010,P,West,West-Central,Zone-D,Pod-8,CA-06,RM-49,2022-10-11,SG-02,L1
2011,P,South,South-Central,Zone-B,Pod-2,CA-25,RM-25,2024-05-14,SG-20,L2
2012,P,East,East-Central,Zone-A,Pod-9,CA-49,RM-18,2022-08-23,SG-25,L3
2013,G,East,East-North,Zone-C,Pod-5,CA-33,RM-49,2024-07-18,SG-06,L3
2014,P,North,North-Central,Zone-C,Pod-4,CA-10,RM-24,2024-11-05,SG-25,L1
2015,U,North,North-Central,Zone-C,Pod-5,CA-16,RM-04,2022-08-18,SG-08,L3
2016,G,North,North-East,Zone-D,Pod-3,CA-43,RM-31,2024-12-26,SG-18,L1
2017,P,East,East-Central,Zone-E,Pod-4,CA-46,RM-20,2023-03-10,SG-13,L3
2018,G,East,East-South,Zone-E,Pod-2,CA-22,RM-02,2023-05-23,SG-19,L3
2019,P,South,South-Central,Zone-B,Pod-1,CA-15,RM-05,,SG-02,L2
2020,G,North,North-Central,Zone-B,Pod-9,CA-09,RM-47,2024-09-21,SG-19,L3
2021,G,West,West-North,Zone-D,Pod-2,CA-43,RM-28,2023-01-25,SG-12,L2
2022,G,West,West-South,Zone-A,Pod-1,CA-26,RM-47,2025-08-16,SG-11,L1
2023,U,South,South-East,Zone-B,Pod-3,CA-18,RM-30,2022-10-15,SG-08,L1
2024,P,West,West-Central,Zone-A,Pod-1,CA-06,RM-49,,SG-08,L1
2025,G,West,West-South,Zone-D,Pod-3,CA-25,RM-01,2024-04-01,SG-13,L2
2026,P,West,West-South,Zone-D,Pod-8,CA-10,RM-13,2026-02-05,SG-10,L1
2027,U,North,North-Central,Zone-E,Pod-1,CA-04,RM-38,,SG-16,L3
2028,G,South,South-East,Zone-E,Pod-10,CA-05,RM-44,2023-01-16,SG-08,L2
2029,P,North,North-Central,Zone-B,Pod-2,CA-27,RM-43,2022-03-23,SG-19,L3
2030,G,East,East-South,Zone-B,Pod-5,CA-26,RM-09,2023-10-06,SG-22,L3
2031,G,East,East-South,Zone-C,Pod-8,CA-40,RM-37,2022-05-29,SG-04,L1
2032,G,South,South-Central,Zone-C,Pod-4,CA-24,RM-19,2023-12-16,SG-06,L2
2033,P,East,East-Central,Zone-E,Pod-5,CA-43,RM-07,,SG-05,L2
2034,P,North,North-East,Zone-E,Pod-4,CA-46,RM-22,2023-08-01,SG-07,L3
2035,G,East,East-Central,Zone-D,Pod-7,CA-18,RM-03,2022-04-15,SG-01,L2
2036,P,South,South-Central,Zone-C,Pod-7,CA-36,RM-01,2024-06-23,SG-04,L1
2037,P,South,South-Central,Zone-A,Pod-3,CA-28,RM-09,2025-04-07,SG-02,L2
2038,P,East,East-North,Zone-C,Pod-2,CA-23,RM-50,2023-05-27,SG-18,L2
2039,U,South,South-East,Zone-B,Pod-1,CA-12,RM-48,2022-12-29,SG-11,L2
2040,U,South,South-West,Zone-B,Pod-1,CA-31,RM-15,2022-08-10,SG-07,L2
2041,G,East,East-South,Zone-B,Pod-7,CA-22,RM-18,2025-09-13,SG-03,L2
2042,U,East,East-Central,Zone-E,Pod-1,CA-08,RM-17,2025-01-03,SG-06,L3
2043,P,East,East-North,Zone-A,Pod-6,CA-28,RM-39,2023-12-09,SG-17,L1
2044,U,West,West-Central,Zone-B,Pod-1,CA-34,RM-35,2025-12-22,SG-22,L3
2045,P,South,South-West,Zone-D,Pod-6,CA-40,RM-21,,SG-22,L1
2046,U,East,East-Central,Zone-C,Pod-5,CA-36,RM-09,2023-10-31,SG-07,L2
2047,U,West,West-Central,Zone-B,Pod-9,CA-01,RM-20,2023-09-09,SG-10,L1
2048,U,West,West-Central,Zone-E,Pod-8,CA-44,RM-14,2024-08-10,SG-17,L2
2049,P,South,South-Central,Zone-A,Pod-10,CA-22,RM-06,2025-09-21,SG-25,L1
2050,G,East,East-North,Zone-B,Pod-8,CA-40,RM-50,2022-04-05,SG-03,L2
2051,U,West,West-Central,Zone-E,Pod-8,CA-26,RM-16,2025-11-27,SG-05,L3
2052,P,North,North-East,Zone-D,Pod-8,CA-04,RM-36,2025-11-26,SG-08,L1
2053,P,West,West-North,Zone-D,Pod-6,CA-49,RM-29,2025-02-18,SG-20,L3
2054,U,West,West-Central,Zone-D,Pod-5,CA-49,RM-16,2024-08-30,SG-21,L2
2055,P,West,West-Central,Zone-B,Pod-5,CA-16,RM-18,2022-06-08,SG-11,L2
2056,G,North,North-East,Zone-B,Pod-4,CA-05,RM-27,2025-11-22,SG-14,L2
2057,U,West,West-South,Zone-A,Pod-10,CA-45,RM-02,2024-05-10,SG-25,L3
2058,U,West,West-South,Zone-A,Pod-7,CA-35,RM-48,2023-09-04,SG-24,L3
2059,G,South,South-West,Zone-B,Pod-7,CA-22,RM-43,2024-09-21,SG-22,L2
2060,G,South,South-West,Zone-B,Pod-7,CA-38,RM-37,2024-12-29,SG-22,L1
2061,G,North,North-Central,Zone-D,Pod-1,CA-17,RM-25,2024-08-03,SG-11,L1
2062,U,West,West-South,Zone-C,Pod-7,CA-17,RM-06,2024-02-16,SG-16,L1
2063,G,North,North-West,Zone-B,Pod-1,CA-16,RM-13,2025-08-27,SG-01,L3
2064,P,South,South-East,Zone-B,Pod-4,CA-30,RM-45,2022-08-23,SG-09,L2
2065,G,South,South-Central,Zone-E,Pod-3,CA-20,RM-07,2026-01-11,SG-19,L1
2066,G,East,East-Central,Zone-D,Pod-2,CA-38,RM-45,2026-01-04,SG-21,L1
2067,G,North,North-Central,Zone-C,Pod-10,CA-03,RM-23,2025-05-14,SG-18,L2
2068,U,East,East-North,Zone-E,Pod-8,CA-07,RM-28,2022-01-26,SG-12,L3
2069,P,West,West-Central,Zone-B,Pod-5,CA-40,RM-35,2026-02-11,SG-25,L2
2070,G,West,West-South,Zone-E,Pod-5,CA-29,RM-16,2023-05-18,SG-25,L2
2071,G,West,West-South,Zone-A,Pod-8,CA-14,RM-23,2023-10-28,SG-09,L2
2072,G,East,East-Central,Zone-C,Pod-2,CA-16,RM-47,2024-11-24,SG-14,L2
2073,U,South,South-Central,Zone-D,Pod-1,CA-06,RM-19,2024-10-02,SG-08,L2
2074,P,South,South-West,Zone-E,Pod-6,CA-28,RM-48,2025-02-07,SG-18,L2
2075,G,East,East-Central,Zone-D,Pod-2,CA-47,RM-13,2023-05-30,SG-11,L1
2076,P,South,South-East,Zone-B,Pod-10,CA-49,RM-34,2023-07-21,SG-20,L2
2077,U,North,North-East,Zone-C,Pod-1,CA-46,RM-35,2023-01-03,SG-05,L2
2078,P,North,North-East,Zone-E,Pod-8,CA-07,RM-01,2022-09-16,SG-19,L2
2079,U,West,West-South,Zone-D,Pod-8,CA-08,RM-05,2022-04-16,SG-13,L2
2080,U,North,North-Central,Zone-A,Pod-2,CA-16,RM-08,2025-02-26,SG-18,L2
2081,U,South,South-Central,Zone-D,Pod-10,CA-28,RM-20,2024-06-25,SG-19,L3
2082,P,North,North-Central,Zone-A,Pod-4,CA-17,RM-43,2023-03-02,SG-03,L1
2083,G,South,South-East,Zone-E,Pod-7,CA-29,RM-45,,SG-20,L2
2084,P,East,East-North,Zone-B,Pod-8,CA-05,RM-44,2023-08-03,SG-08,L2
2085,G,South,South-West,Zone-A,Pod-5,CA-10,RM-05,2025-08-19,SG-02,L1
2086,G,East,East-Central,Zone-E,Pod-8,CA-45,RM-20,2024-06-18,SG-23,L2
2087,P,East,East-Central,Zone-E,Pod-1,CA-28,RM-48,2022-06-14,SG-11,L3
2088,P,East,East-North,Zone-A,Pod-10,CA-02,RM-49,2025-10-12,SG-22,L2
2089,U,North,North-East,Zone-D,Pod-3,CA-38,RM-28,2024-06-24,SG-21,L2
2090,P,North,North-West,Zone-C,Pod-2,CA-11,RM-22,2023-10-20,SG-14,L3
2091,G,West,West-South,Zone-D,Pod-8,CA-06,RM-21,2025-01-31,SG-09,L2
2092,P,North,North-West,Zone-E,Pod-9,CA-30,RM-27,2022-01-03,SG-02,L1
2093,G,East,East-Central,Zone-D,Pod-5,CA-36,RM-09,2022-04-16,SG-10,L2
2094,G,West,West-North,Zone-A,Pod-3,CA-20,RM-36,2025-05-31,SG-01,L3
2095,U,West,West-North,Zone-B,Pod-2,CA-42,RM-10,2022-08-21,SG-16,L3
2096,U,East,East-Central,Zone-C,Pod-4,CA-30,RM-36,2024-09-15,SG-05,L2
2097,G,South,South-Central,Zone-E,Pod-5,CA-50,RM-27,2022-10-07,SG-11,L3
2098,P,East,East-North,Zone-C,Pod-8,CA-10,RM-29,2025-04-17,SG-18,L2
2099,U,East,East-South,Zone-E,Pod-6,CA-13,RM-45,2024-02-12,SG-08,L3
2100,P,West,West-North,Zone-D,Pod-8,CA-46,RM-25,,SG-13,L3
2101,U,South,South-West,Zone-A,Pod-2,CA-29,RM-07,2025-04-23,SG-17,L2
2102,G,North,North-Central,Zone-B,Pod-2,CA-31,RM-17,2025-09-02,SG-11,L3
2103,P,West,West-Central,Zone-A,Pod-7,CA-21,RM-41,2025-10-13,SG-23,L2
2104,U,North,North-Central,Zone-A,Pod-4,CA-48,RM-06,2025-11-02,SG-14,L1
2105,G,North,North-West,Zone-B,Pod-6,CA-04,RM-19,2022-03-01,SG-12,L2
2106,P,West,West-North,Zone-B,Pod-3,CA-11,RM-12,2025-03-05,SG-03,L3
2107,G,West,West-Central,Zone-B,Pod-4,CA-30,RM-41,2025-04-09,SG-09,L2
2108,U,East,East-Central,Zone-A,Pod-9,CA-11,RM-05,2024-08-10,SG-15,L2
2109,U,East,East-Central,Zone-D,Pod-4,CA-25,RM-31,2024-07-24,SG-04,L1
2110,U,West,West-Central,Zone-C,Pod-1,CA-43,RM-26,2025-12-03,SG-09,L1
2111,G,North,North-Central,Zone-D,Pod-10,CA-23,RM-15,2023-08-10,SG-21,L1
2112,P,East,East-Central,Zone-B,Pod-1,CA-20,RM-29,2025-07-09,SG-02,L3
2113,U,East,East-Central,Zone-B,Pod-7,CA-12,RM-13,2023-08-28,SG-05,L3
2114,U,East,East-Central,Zone-E,Pod-8,CA-19,RM-48,2022-12-03,SG-11,L1
2115,P,West,West-North,Zone-B,Pod-7,CA-36,RM-24,2023-04-08,SG-03,L2
2116,P,North,North-West,Zone-E,Pod-5,CA-38,RM-25,2024-01-25,SG-21,L2
2117,P,North,North-Central,Zone-B,Pod-6,CA-40,RM-15,2025-06-22,SG-21,L1
2118,G,West,West-Central,Zone-C,Pod-1,CA-03,RM-20,2022-08-27,SG-16,L1
2119,U,North,North-East,Zone-E,Pod-9,CA-27,RM-38,2024-07-18,SG-24,L3
2120,U,South,South-West,Zone-A,Pod-5,CA-03,RM-45,2025-06-14,SG-12,L1
2121,P,West,West-South,Zone-B,Pod-6,CA-35,RM-42,2022-07-23,SG-12,L1
2122,G,West,West-South,Zone-B,Pod-4,CA-42,RM-41,2024-07-20,SG-20,L1
2123,G,North,North-West,Zone-B,Pod-2,CA-49,RM-36,2025-03-02,SG-07,L3
2124,G,South,South-East,Zone-C,Pod-5,CA-10,RM-09,2025-05-05,SG-18,L2
2125,G,South,South-East,Zone-A,Pod-10,CA-21,RM-02,2024-01-04,SG-06,L2
2126,U,North,North-East,Zone-D,Pod-8,CA-50,RM-24,2022-05-11,SG-17,L3
2127,G,North,North-West,Zone-E,Pod-9,CA-20,RM-30,2025-06-13,SG-21,L1
2128,U,North,North-West,Zone-D,Pod-8,CA-05,RM-06,2022-08-10,SG-11,L3
2129,P,South,South-East,Zone-B,Pod-9,CA-46,RM-21,2025-07-20,SG-13,L3
2130,P,East,East-South,Zone-E,Pod-2,CA-42,RM-42,2022-07-23,SG-25,L3
2131,U,South,South-West,Zone-D,Pod-8,CA-26,RM-27,2024-04-27,SG-24,L1
2132,G,East,East-South,Zone-C,Pod-8,CA-05,RM-06,2024-02-06,SG-03,L1
2133,G,West,West-North,Zone-C,Pod-10,CA-36,RM-36,2025-02-13,SG-11,L3
2134,P,North,North-West,Zone-C,Pod-1,CA-19,RM-39,2024-05-16,SG-10,L2
2135,U,North,North-Central,Zone-E,Pod-4,CA-07,RM-23,2025-09-06,SG-18,L2
2136,P,North,North-West,Zone-E,Pod-10,CA-40,RM-44,2024-05-28,SG-21,L3
2137,U,North,North-Central,Zone-C,Pod-5,CA-22,RM-23,,SG-01,L1
2138,P,South,South-Central,Zone-D,Pod-1,CA-06,RM-48,,SG-17,L1
2139,U,West,West-South,Zone-D,Pod-6,CA-50,RM-37,2024-01-28,SG-20,L1
2140,P,North,North-East,Zone-B,Pod-2,CA-18,RM-29,2022-04-12,SG-22,L2
2141,P,West,West-Central,Zone-D,Pod-2,CA-23,RM-28,2023-03-18,SG-04,L2
2142,U,West,West-Central,Zone-C,Pod-10,CA-04,RM-01,,SG-07,L2
2143,G,South,South-East,Zone-C,Pod-8,CA-48,RM-28,2022-09-03,SG-06,L1
2144,U,West,West-Central,Zone-B,Pod-2,CA-26,RM-48,2025-09-30,SG-02,L2
2145,U,North,North-West,Zone-A,Pod-10,CA-26,RM-46,2025-03-25,SG-21,L2
2146,U,East,East-North,Zone-D,Pod-3,CA-40,RM-30,,SG-23,L2
2147,U,North,North-West,Zone-A,Pod-9,CA-06,RM-26,2025-04-21,SG-10,L3
2148,P,East,East-North,Zone-C,Pod-2,CA-34,RM-33,2022-06-06,SG-07,L2
2149,U,East,East-Central,Zone-B,Pod-4,CA-12,RM-39,2022-10-27,SG-05,L3
2150,P,North,North-East,Zone-D,Pod-8,CA-44,RM-37,2025-02-28,SG-21,L3
2151,U,East,East-Central,Zone-C,Pod-8,CA-41,RM-20,2022-05-20,SG-09,L3
2152,U,North,North-West,Zone-E,Pod-8,CA-03,RM-04,,SG-12,L2
2153,U,North,North-Central,Zone-A,Pod-8,CA-38,RM-36,2024-11-04,SG-24,L1
2154,P,West,West-Central,Zone-B,Pod-3,CA-04,RM-29,2024-09-01,SG-04,L2
2155,P,North,North-Central,Zone-B,Pod-8,CA-29,RM-34,,SG-17,L3
2156,U,South,South-West,Zone-C,Pod-6,CA-44,RM-39,2024-03-04,SG-02,L3
2157,U,East,East-North,Zone-C,Pod-5,CA-17,RM-47,2025-10-21,SG-22,L3
2158,U,South,South-West,Zone-A,Pod-5,CA-42,RM-45,2022-10-17,SG-22,L2
2159,P,South,South-Central,Zone-A,Pod-6,CA-09,RM-43,2024-02-11,SG-23,L3
2160,U,North,North-Central,Zone-D,Pod-5,CA-12,RM-14,2022-02-07,SG-11,L2
2161,G,South,South-East,Zone-B,Pod-9,CA-50,RM-35,2023-08-29,SG-24,L3
2162,G,North,North-Central,Zone-C,Pod-10,CA-25,RM-10,2025-06-19,SG-06,L1
2163,U,South,South-Central,Zone-D,Pod-4,CA-29,RM-40,,SG-10,L3
2164,G,West,West-North,Zone-E,Pod-6,CA-44,RM-37,2024-08-18,SG-15,L2
2165,G,East,East-South,Zone-E,Pod-10,CA-09,RM-17,2022-11-28,SG-02,L3
2166,P,West,West-South,Zone-E,Pod-2,CA-19,RM-06,2025-12-27,SG-25,L1
2167,G,East,East-South,Zone-E,Pod-4,CA-29,RM-23,2024-06-14,SG-01,L2
2168,G,North,North-West,Zone-E,Pod-6,CA-15,RM-02,2024-03-01,SG-11,L1
2169,U,East,East-North,Zone-B,Pod-3,CA-49,RM-46,,SG-16,L2
2170,P,North,North-East,Zone-A,Pod-10,CA-34,RM-28,2022-11-03,SG-04,L2
2171,U,South,South-West,Zone-A,Pod-10,CA-30,RM-05,,SG-04,L2
2172,G,North,North-Central,Zone-E,Pod-5,CA-28,RM-01,2026-01-11,SG-20,L2
2173,G,South,South-Central,Zone-D,Pod-9,CA-24,RM-05,2025-09-30,SG-17,L3
2174,U,North,North-West,Zone-D,Pod-6,CA-17,RM-48,,SG-01,L2
2175,G,North,North-West,Zone-B,Pod-10,CA-48,RM-49,2025-07-10,SG-11,L1
2176,G,North,North-West,Zone-E,Pod-8,CA-45,RM-31,2025-08-09,SG-21,L1
2177,G,South,South-East,Zone-D,Pod-1,CA-13,RM-03,,SG-11,L2
2178,G,West,West-Central,Zone-D,Pod-5,CA-23,RM-50,2025-08-17,SG-02,L3
2179,U,East,East-South,Zone-A,Pod-8,CA-25,RM-22,2024-06-13,SG-06,L2
2180,P,West,West-South,Zone-E,Pod-7,CA-06,RM-28,2022-06-19,SG-20,L1
2181,U,East,East-South,Zone-A,Pod-5,CA-29,RM-39,2025-09-15,SG-23,L2
2182,P,South,South-Central,Zone-D,Pod-6,CA-40,RM-28,2022-03-28,SG-09,L3
2183,G,North,North-East,Zone-D,Pod-1,CA-10,RM-39,2025-10-23,SG-22,L2
2184,U,North,North-East,Zone-A,Pod-6,CA-25,RM-37,2025-08-14,SG-02,L3
2185,U,South,South-Central,Zone-D,Pod-2,CA-37,RM-09,2024-02-01,SG-17,L2
2186,G,West,West-South,Zone-C,Pod-3,CA-32,RM-34,2022-08-21,SG-13,L3
2187,P,North,North-West,Zone-C,Pod-5,CA-45,RM-32,2023-03-16,SG-07,L1
2188,U,South,South-East,Zone-D,Pod-2,CA-44,RM-21,2025-12-31,SG-22,L2
2189,G,North,North-Central,Zone-E,Pod-3,CA-24,RM-33,2023-09-07,SG-08,L1
2190,U,South,South-East,Zone-B,Pod-9,CA-37,RM-24,2022-02-23,SG-15,L3
2191,U,South,South-Central,Zone-A,Pod-8,CA-34,RM-27,,SG-25,L2
2192,U,North,North-East,Zone-C,Pod-9,CA-23,RM-09,2024-07-10,SG-25,L3
2193,G,South,South-East,Zone-D,Pod-9,CA-10,RM-20,2022-04-24,SG-06,L1
2194,U,East,East-Central,Zone-B,Pod-2,CA-17,RM-13,2024-11-28,SG-21,L3
2195,P,East,East-North,Zone-C,Pod-3,CA-38,RM-38,2022-07-11,SG-05,L1
2196,G,East,East-Central,Zone-A,Pod-1,CA-42,RM-50,2022-02-28,SG-19,L2
2197,U,South,South-Central,Zone-D,Pod-9,CA-19,RM-42,2022-03-04,SG-10,L2
2198,P,South,South-Central,Zone-D,Pod-1,CA-11,RM-29,2022-05-30,SG-14,L2
2199,P,West,West-North,Zone-C,Pod-6,CA-47,RM-23,2023-10-03,SG-13,L1
2200,U,East,East-Central,Zone-E,Pod-2,CA-18,RM-29,2023-05-11,SG-08,L1
2201,U,North,North-East,Zone-C,Pod-4,CA-11,RM-21,2025-06-14,SG-19,L3
2202,U,East,East-North,Zone-B,Pod-8,CA-20,RM-32,2024-11-20,SG-01,L1
2203,P,West,West-Central,Zone-D,Pod-6,CA-04,RM-04,2023-03-17,SG-10,L2
2204,G,West,West-South,Zone-E,Pod-7,CA-09,RM-17,,SG-24,L2
2205,P,West,West-South,Zone-A,Pod-4,CA-24,RM-36,2025-03-13,SG-10,L1
2206,P,West,West-Central,Zone-D,Pod-10,CA-08,RM-09,2023-07-27,SG-04,L2
2207,G,East,East-South,Zone-E,Pod-10,CA-33,RM-26,2022-10-23,SG-17,L1
2208,P,North,North-East,Zone-B,Pod-8,CA-10,RM-39,2024-08-28,SG-17,L1
2209,P,East,East-Central,Zone-C,Pod-5,CA-38,RM-22,2025-06-16,SG-17,L3
2210,U,West,West-Central,Zone-E,Pod-6,CA-44,RM-08,2022-02-04,SG-14,L3
2211,P,East,East-Central,Zone-A,Pod-10,CA-37,RM-15,2023-06-28,SG-24,L1
2212,U,West,West-North,Zone-E,Pod-3,CA-44,RM-16,2025-06-23,SG-02,L3
2213,G,North,North-East,Zone-A,Pod-7,CA-45,RM-14,2024-05-07,SG-14,L3
2214,G,West,West-Central,Zone-A,Pod-9,CA-21,RM-43,2024-11-28,SG-16,L3
2215,U,West,West-South,Zone-B,Pod-9,CA-23,RM-44,2024-12-27,SG-25,L3
2216,U,East,East-Central,Zone-D,Pod-9,CA-20,RM-15,2023-05-20,SG-10,L2
2217,P,South,South-Central,Zone-D,Pod-5,CA-19,RM-08,2023-12-16,SG-19,L3
2218,U,West,West-South,Zone-C,Pod-1,CA-19,RM-46,2022-10-27,SG-03,L2
2219,G,West,West-Central,Zone-C,Pod-9,CA-18,RM-36,2023-03-15,SG-23,L2
2220,G,South,South-East,Zone-E,Pod-1,CA-43,RM-34,2023-05-06,SG-08,L3
2221,U,South,South-East,Zone-A,Pod-2,CA-44,RM-50,2026-01-09,SG-05,L1
2222,U,South,South-West,Zone-D,Pod-6,CA-19,RM-42,2023-02-13,SG-02,L1
2223,U,South,South-Central,Zone-A,Pod-3,CA-03,RM-26,2022-12-25,SG-16,L1
2224,G,East,East-North,Zone-A,Pod-6,CA-19,RM-30,2025-05-19,SG-21,L3
2225,G,West,West-North,Zone-E,Pod-6,CA-11,RM-47,2023-01-30,SG-15,L3
2226,U,East,East-Central,Zone-B,Pod-5,CA-37,RM-44,,SG-25,L1
2227,U,South,South-Central,Zone-D,Pod-2,CA-26,RM-43,2024-11-21,SG-04,L1
2228,U,South,South-West,Zone-C,Pod-7,CA-16,RM-29,2022-01-14,SG-25,L2
2229,U,East,East-South,Zone-E,Pod-6,CA-45,RM-16,2022-01-24,SG-02,L3
2230,P,North,North-West,Zone-C,Pod-5,CA-45,RM-08,2025-11-06,SG-21,L2
2231,U,East,East-Central,Zone-B,Pod-3,CA-30,RM-48,2022-10-01,SG-20,L2
2232,P,West,West-Central,Zone-E,Pod-4,CA-49,RM-16,2025-01-05,SG-22,L3
2233,G,North,North-Central,Zone-D,Pod-10,CA-08,RM-04,2024-01-11,SG-18,L3
